lambda,cov.prob
0,1
0.1,0.9953211598395555
0.2,0.9824769036935782
0.30000000000000004,0.9630636868862333
0.4,0.9920736681327463
0.5,0.9856123220330294
0.6000000000000001,0.9768847122473672
0.7000000000000001,0.9658584158742916
0.8,0.9525774039285098
0.9,0.9865412793605637
1,0.9810118431238463
1.1,0.9742581834703292
1.2000000000000002,0.9662310318143444
1.3,0.9569045473079241
1.4000000000000001,0.9857467036601779
1.5,0.9814240637778595
1.6,0.9763177219506884
1.7000000000000002,0.970385193695468
1.8,0.9635933389989166
1.9000000000000001,0.9559185967576448
2,0.9834363915193857
2.1,0.9795509199103668
2.2,0.9750902496952996
2.3000000000000003,0.9700243063025452
2.4000000000000004,0.964327489004697
2.5,0.9579789618046939
2.6,0.9509628480130379
2.7,0.9432683336983988
2.8000000000000003,0.9348896866357591
2.9000000000000004,0.9258261984058453
3,0.9160820579686966
3.1,0.9502675659777846
3.2,0.9535236579552137
3.3000000000000003,0.9562050203581748
3.4000000000000004,0.9583339899298561
3.5,0.9599289585215767
3.6,0.9610048653142392
3.7,0.9615736594155423
3.8000000000000003,0.9616447338922842
3.9000000000000004,0.9612253320538038
4,0.9603209266232818
4.1000000000000005,0.9589355723101604
4.2,0.9570722322214982
4.3,0.9547330785150925
4.4,0.9519197676955686
4.5,0.9486336909797201
4.6000000000000005,0.944876200203093
4.7,0.9406488098006426
4.800000000000001,0.9359533754652944
4.9,0.9513881950081244
5,0.954119226092478
5.1000000000000005,0.9564816989079914
5.2,0.9584868049663019
5.300000000000001,0.9601442274494134
5.4,0.9614622462202868
5.5,0.9624478445913567
5.6000000000000005,0.9631068170992909
5.7,0.963443877593745
5.800000000000001,0.9634627670001882
5.9,0.963166360163746
6,0.9625567712238908
6.1000000000000005,0.9616354570097737
6.2,0.9604033179840178
6.300000000000001,0.9588607962995398
6.4,0.9570079705700272
6.5,0.9548446469903601
6.6000000000000005,0.9519938890073627
6.7,0.9538218197416756
6.800000000000001,0.9553539769658659
6.9,0.9565959092571041
7,0.957552443316058
7.1000000000000005,0.9582277311926316
7.2,0.9586252993579839
7.300000000000001,0.9587480992024753
7.4,0.9585985585629493
7.5,0.9581786339053191
7.6000000000000005,0.9574898628101219
7.7,0.9565334164296271
7.800000000000001,0.9553101516055185
7.9,0.9538206623561588
8,0.9520653304621778
8.1,0.9512207676573378
8.200000000000001,0.9527995163152277
8.3,0.9541294177020262
8.4,0.955214290314377
8.5,0.9560574992811802
8.6,0.9566619809773429
8.700000000000001,0.9570302691652575
8.8,0.9571645224300653
8.9,0.9570665526841092
9,0.9567378545251921
9.1,0.9561796352423283
9.200000000000001,0.9553928452716985
9.3,0.954378208914488
9.4,0.9531362551372602
9.5,0.9508089987292698
9.600000000000001,0.952361709448641
9.700000000000001,0.9537012448181429
9.8,0.9548306565939025
9.9,0.9557526702479943
10,0.9564696983259894
10.100000000000001,0.9569838550427674
10.200000000000001,0.9572969719804484
10.3,0.957410614756008
